feature,effect,importance
chicago,0.3868496758888597,0.20135816017625757
location,-0.12771022879687688,0.036664475726136944
luxury,0.293689362195308,0.027787006876648708
we,-0.08936954895028254,0.019641091034371238
decided,0.17765930554214038,0.019329470969611236
for,0.0006882123675138185,0.019264013837764583
star,0.022037237166691315,0.01747176340176255
sheets,0.14190218675823957,0.015786727715925486
is,-0.049829663559637416,0.015783748350955706
are,-0.1075722890947079,0.01506549652293875
seemed,0.12716262537789658,0.011475140949518452
finally,0.031035936984288748,0.010376619924339223
smelled,0.3262048230619882,0.010367004428177446
open,-0.28282743423724677,0.010034335057239467
turned,0.2729528414116161,0.010020245030927188
cleaned,0.23668194855034475,0.00904604534117773
experience,0.16045086448771873,0.008405244022715417
recently,0.2824159781554794,0.008376738437328874
make,0.081807720360358,0.008192384242811823
we got,0.07759783851388818,0.00817256076615453
to wait,0.24415200830034428,0.007865781118051725
have stayed,-0.26669168694776835,0.0075558217273655115
the food,0.1685400304536812,0.00698573162969133
very,-0.005990753127344262,0.006384836439023884
there are,-0.10564868318600462,0.00632939439561893
never,-0.00969697593948926,0.006115526871046474
room the,-0.015254802555374258,0.005903648816711229
elevator,-0.1841833885987217,0.005881135399265808
no,-0.06673812028417692,0.005784348826022362
to chicago,0.137920315068581,0.005584783984692149
coffee,-0.340331336708131,0.0055703453767555625
prices,0.19345314238148797,0.005539850891978848
many,0.012669458858727611,0.005483524617603072
construction,-0.09078391200467006,0.005442209668102505
rude,0.18406144782952855,0.00537012065846665
my room,0.18367218593531248,0.005310435706112385
we have,-0.22607984386748742,0.005104293386528116
this is,-0.11916600421175744,0.0049374509083305075
close,-0.11707656466238786,0.0048507379798977245
comfortable,-0.09759561489505952,0.004614992559767858
always,0.0520967116682825,0.004433333897011092
at the,0.18527206137057717,0.004270404367444293
room was,0.025419494625765426,0.0035802187562111523
same,-0.08000732319039289,0.0034992221097872346
the,,0.0033779441963432467
need,0.10332854259626012,0.0033058778096883216
for room,-0.12683045345818555,0.00315076858095242
took,-0.07914166302467113,0.0031022505617595243
room on,-0.24760763181446127,0.0030941950460528864
the bar,-0.008830983091286937,0.0030541871411853207
not very,0.08765259768793998,0.002977476737577363
rate,0.016598986169435337,0.0029762185253264
told,-0.08433237760318968,0.0028339067483411965
the clerk,0.3263211623846156,0.002677075254358215
can,-0.058627639777130924,0.002620350657145903
said,-0.05688307697337541,0.002439975354224023
expected,0.033655237301233765,0.002382067663875185
major,-0.20542169650173336,0.002284234449418301
cold,0.04507195941523018,0.0021675879391766504
called,0.03793927706839434,0.00212120146955518
michigan,-0.13306077806792865,0.0019520905824094285
reviews,-0.12854935676619644,0.0019372276082871593
was,0.10893379285740995,0.00193356550468507
hotel is,0.020619382697433852,0.0018432149496057965
stayed at,0.08445251367676787,0.0018209815490457736
this,0.03062057167292126,0.0017384191881713966
tell,0.11985875695180875,0.0017378239506159814
and the,-0.03632808592230302,0.0017054551735005824
looks,0.08198811545427775,0.0016788904638839763
to this,0.1602595880355967,0.001620536890448435
to,-0.06793836113446544,0.0015952400434708647
with my,0.24558917209456715,0.0015164085489835527
here,-0.022887497915628607,0.0014877282219601128
wait,0.21254371731864852,0.00147027279899839
could,0.13305070851565026,0.0014417373156452003
of,0.12382414805952885,0.0014016903586016524
when,0.04241468246666652,0.0013800322315514744
call,-0.04773817816827608,0.0013684614441197662
requested,0.06216420938144673,0.001320473830911288
why,0.07992411877496564,0.001306576787714081
nights,-0.2019942448189967,0.001242463567534771
in,0.038286162786535405,0.0012333175930965444
over,-0.060115263586773215,0.0011917811303296367
and,0.23146819296496862,0.001186351755331748
the website,0.013103295967470674,0.0011665473579928797
arrived,-0.012065600167634472,0.0011518884706337295
accommodations,0.14713438463391904,0.0011195837640941017
walked,0.09200746850708186,0.001093559812137182
my,0.1996237314577915,0.0010829777431077025
tiny,-0.27892314222179304,0.0010824054977009968
return,0.12891401581659412,0.0009699409716659949
staying,0.16298119359295304,0.0009315784079632762
be,0.09536338127871502,0.0009221700608417956
phone,0.0548773431822171,0.0009132872046605027
towels,0.24223643858126925,0.0008709764540678094
returned,0.014435599671453136,0.0008391773531533492
ok,-0.12006379764455699,0.0008093710244419307
any,-0.03884139597429587,0.0008091158444956543
two,-0.09689998945311734,0.0008083416865646245
paid,-0.005506256667918208,0.0007955837058816834
check in,0.0005637735455902293,0.0007489379809156875
by,-0.027243985103382606,0.00070377560671336
on,0.06164481428819085,0.0006648203591520753
first of,0.19848596650999523,0.0006513555390417505
desk staff,0.23416861076038076,0.0006362282783623425
set,0.0362555722266627,0.0006165265386369229
online,0.1626305707318404,0.0006030331787245561
room,-0.006911401071357848,0.0005957091391949113
manager,-0.05391322153441397,0.0005937076831784028
city,-0.02360759249085237,0.0005847835529387541
late,-0.053584412536940185,0.0005732140651013175
floor,-0.07246922108355569,0.0005557970054415895
at all,0.06288113067493595,0.000543819437199933
line,-0.06426242943468935,0.0005326627733897327
like,0.15438056306152437,0.0004910381643548001
website,0.15350224467032103,0.0004892990052242552
staff was,-0.002855318823678954,0.000484806236106819
great,0.038888463942443,0.0004774467613565631
concierge,0.09131409675311664,0.0004554432595461257
in the,-0.0486050677709462,0.0004457721317074113
day,-0.06552909812265939,0.00043886154722336674
next,0.09182495846139965,0.00043684918874716856
rooms,-0.020530505047504533,0.0004217436227950545
from,0.06289037032494615,0.0004117165349630857
that,0.10476139459807365,0.00040110427253023444
extremely,0.13898004864337504,0.0004002013896117224
definitely,0.09201755487224472,0.0003732736786652956
slow,-0.01795154374102792,0.0003619899542574015
lady,-0.09048071292488974,0.0003595513052388815
have,0.09214692667235636,0.00035386263541793895
because,-0.017274962307443464,0.00032764708232426213
did,-0.0011979695998909357,0.00031837642556909406
there,0.009913644167294455,0.0003088834318515868
out,0.04555326761858297,0.0002992817296406295
the bathroom,0.04552611925683819,0.0002976122262160383
not,0.11784393939677645,0.0002975713897502226
bed was,0.14893885112580602,0.00029500921570271046
told me,0.08717651679638427,0.00029098375006326636
service,0.008414959381364384,0.00029002831990151593
thought,0.16282566112230518,0.0002895248989381377
this was,0.005875938581611562,0.0002867298560719674
of money,0.21343543797755077,0.00027201098340735874
cleaning,0.10045888016708276,0.00027181322470337817
around,-0.04528899950226595,0.00027104808925710217
breakfast,-0.09171320234030106,0.0002531964125720967
thing,-0.14741850639789483,0.0002524973733365471
gave,-0.09820598867310254,0.00024789460787226985
it,0.041710666868119084,0.0002368260262387123
couldn,0.037338160073208504,0.00022597288323990633
to check,0.11844273200263417,0.0002148430846668742
finally got,0.11539120160538946,0.00021047367355895145
one,0.048889216986340966,0.00019079141889986263
they,-0.04971545874875688,0.0001891092244445449
up,0.08849445672307915,0.00016789296612760736
about,-0.021789825875660085,0.00015216121246499633
given,0.022495458271905133,0.00015180484848450055
do,-0.00607428980604563,0.00014700819038768423
doors,-0.23259573285892335,0.0001439223635721139
parking,-0.06533016783231249,0.00014370922583424402
but,-0.008822980131536484,0.0001406779038367713
found,0.19413777872796784,0.00013761421898969434
was not,0.12342998223012369,0.00013709818532469094
and went,0.017386727018382064,0.0001370759320138486
use,0.015870725533692676,0.00012549921310067545
of the,0.01872321298464752,0.0001229343224678983
despite,-0.0632728749549662,0.00012079705696845616
or,-0.015051021717362056,0.00012069828431925107
and was,0.07996614628232374,0.00011231637795837216
the hotel,0.034763901028484534,0.00011096695998993216
really,-0.030430153874489274,0.00011026462842841598
so,0.029607124048872557,0.00010899384529517226
all,0.08176268248365076,9.28218313731305e-05
disappointment,-0.014575849184936929,8.07778728351855e-05
unfortunately,0.06983282457797246,7.591967102866833e-05
there was,0.051988809961003746,7.50543601460246e-05
view,-0.035919083082260383,7.390906010174215e-05
if,0.07101605084247559,7.369980111853193e-05
it was,0.044782217659851964,7.05300782188524e-05
made,0.14181128300279533,6.687702451527175e-05
do not,-0.011818729334979516,6.152705061479753e-05
even,0.013701974008014262,5.76760997749632e-05
to get,-0.06098085316592955,5.1442420732232446e-05
all night,-0.08363983913508294,5.089404240585259e-05
and we,-0.04579699113921376,4.599509150913336e-05
much,-0.08116148234044296,4.222835422827593e-05
that was,0.15817939136773568,3.810193336112968e-05
staying at,0.15986238341594528,2.3162258636275204e-05
hotel,0.10822104488343454,2.307101082868849e-05
served,0.2771600164291562,2.2359467221672888e-05
the chicago,0.2532055289619981,9.186012121977064e-06
off,-0.04576378855005542,4.4531257950687843e-07
than,-0.028611678429435405,0.0
that my,0.07613410531867393,0.0
size,-0.07952047599901357,0.0
that it,-0.04387375063823151,0.0
taken,0.08795112766009644,0.0
sleep,0.142335448545733,0.0
small and,0.006661831066887114,0.0
smaller,0.24808671356406858,0.0
that is,-0.030686900954977836,0.0
small,-0.1471941549715074,0.0
terrible,0.25149944203282665,0.0
that had,0.11002223789468285,0.0
small the,-0.25350622620578933,0.0
that could,0.14141662920325088,0.0
supposed to,0.14266018271659597,0.0
take,0.08774123132200345,0.0
system,0.11907934248160124,0.0
something,-0.16679262672018758,0.0
somewhat,0.09932548483745463,0.0
somewhere,-0.036622205997647095,0.0
spent,0.13203984753185322,0.0
staff,0.04848837948482043,0.0
staff were,-0.10365632221537452,0.0
sitting,-0.027641859757077003,0.0
start,-0.038000230268566415,0.0
stay,0.013394238544752635,0.0
some,-0.042889756424061454,0.0
stay at,0.07102700594715983,0.0
stay here,-0.02681424625508655,0.0
stay in,0.15098729532010652,0.0
stay there,0.019770082862997085,0.0
stayed,0.03384103489790069,0.0
so we,-0.02613750427938666,0.0
stayed in,-0.0011784989813328761,0.0
so much,0.05339187375990978,0.0
staying here,0.11072946336201628,0.0
still,0.02117325756325006,0.0
stuck,-0.17574198041417777,0.0
such,0.07779358641252576,0.0
suite,-0.09189345491869916,0.0
so many,0.08873231997356246,0.0
supposed,0.14266018271659597,0.0
someone,0.03650571409724657,0.0
sure,0.16605784115054018,0.0
standard,0.016505224102662475,0.0
00,-0.02429461095050267,0.0
site,0.09407224701772121,0.0
quite,-0.05429844472107759,0.0
price,0.04577447506426846,0.0
prior,-0.14405826586296083,0.0
probably,0.011013776320606739,0.0
problem,0.031894904465936236,0.0
problems,0.21442318602599497,0.0
property,0.028105736394799186,0.0
put,-0.15030603056474956,0.0
quality,0.1823486168262789,0.0
quiet,-0.23650582936171158,0.0
rather,0.13588549532453165,0.0
poor,-0.03257652394197569,0.0
re,-0.18748359612647342,0.0
read,0.07623461407298282,0.0
reading,-0.10722416701283194,0.0
ready,0.030310563812139146,0.0
received,0.23264074123108486,0.0
recent,0.1465348929895674,0.0
recently stayed,0.28120122187009255,0.0
recommend,0.0855322094893391,0.0
recommend this,0.08723146621203126,0.0
previous,-0.053628523274700524,0.0
pool,0.10599165064271099,0.0
sink,0.062248870198466755,0.0
past,-0.005803199252711222,0.0
over the,-0.1600252706578818,0.0
overall,0.14317035912756215,0.0
overpriced,0.26550428189197234,0.0
own,0.07188085497873126,0.0
paper,0.017214747614794745,0.0
par,0.18855581696009016,0.0
part,-0.03205511023185542,0.0
part of,-0.03205511023185542,0.0
particularly,0.13885881852944432,0.0
pay,-0.16490857134667886,0.0
places,-0.15109549745974804,0.0
pay for,-0.06686142218298124,0.0
paying,0.011194214762867916,0.0
people,-0.045089233965048714,0.0
person,0.012786394030928017,0.0
personal,0.4063735983802039,0.0
pictures,-0.018949925568665593,0.0
pillows,-0.003812199112778414,0.0
place,0.02141881048308336,0.0
place to,0.16549369498176442,0.0
regular,0.10244386168414144,0.0
request,-0.1411565715772572,0.0
reservation,0.11098242682432663,0.0
service was,-0.05232287564143012,0.0
say that,0.1327362083139994,0.0
saying,0.09533254687156084,0.0
second,-0.1588063819202677,0.0
see,0.0015149016251773673,0.0
seem,-0.04390565029182525,0.0
seemed to,0.1364041000958786,0.0
seems,0.03883075146397613,0.0
send,-0.05662367615504049,0.0
service and,0.2402906545578316,0.0
services,0.015988617827335128,0.0
reserved,0.16729560097155993,0.0
several,0.046637604096039176,0.0
she,0.05224919048994103,0.0
she was,0.006916101031362476,0.0
should,0.04468637601026676,0.0
showed,-0.07359494878701506,0.0
shower,-0.01332215658250907,0.0
side,-0.16094335522372927,0.0
sign,-0.013447762640459049,0.0
since,0.03775699401399052,0.0
say,0.0802350632092757,0.0
saw,-0.18368636181448433,0.0
sat,0.08865372483854378,0.0
rude and,0.21095925755061257,0.0
restaurant,0.17188991472572174,0.0
restaurants,-0.11046112552387477,0.0
right,0.06353961329641261,0.0
room and,0.10928380822852157,0.0
room at,-0.053912966540479446,0.0
room but,-0.027205269170730184,0.0
room for,0.016664838039338603,0.0
room had,-0.025781021375781643,0.0
room it,0.07797822771320673,0.0
room itself,0.12626611859191855,0.0
room service,0.07659430961886149,0.0
room that,0.09309894036633087,0.0
room they,-0.08497894032915804,0.0
room to,0.07451240068514331,0.0
room we,0.11685955061936015,0.0
room with,-0.11519979178881568,0.0
rooms are,-0.14711435604281575,0.0
rooms were,-0.005917780110292259,0.0
that the,0.11430556204156644,0.0
that our,-0.12823920877291145,0.0
the sink,0.07774139507277733,0.0
that there,-0.01312635504670051,0.0
was the,0.0364478472998403,0.0
was also,-0.026883142592875275,0.0
was an,0.004561684138266353,0.0
was extremely,0.21328931066984552,0.0
was in,-0.0722306537196627,0.0
was looking,0.03691134505625021,0.0
was nice,0.005463165771129319,0.0
was no,-0.00844039274260211,0.0
was on,-0.03094266175376248,0.0
was only,0.07003481287778213,0.0
was so,-0.21727191189661071,0.0
was that,0.06714846587289375,0.0
was told,0.02633939493714954,0.0
tub,-0.14333607506741952,0.0
was very,0.012437034342922593,0.0
wasn,-0.1013528681550126,0.0
waste,0.17780470399524817,0.0
water,-0.07320273094559732,0.0
way,-0.03150596939658151,0.0
we are,-0.2506454896525623,0.0
we arrived,-0.179899388914948,0.0
we called,0.03254867546543938,0.0
we could,-0.03427837769983061,0.0
we had,-0.023128806478196817,0.0
we stayed,-0.25844093543647845,0.0
wanted to,0.22224561797710085,0.0
wanted,0.21333397089060036,0.0
want to,-0.002454312714135487,0.0
want,-0.10530413789895565,0.0
uncomfortable,0.25154692653836164,0.0
under,-0.0014743684542280477,0.0
understand,0.0804506662377294,0.0
until,-0.1015050768385764,0.0
up and,-0.10310710205001034,0.0
up for,-0.09571487823404712,0.0
up to,0.23517472649925225,0.0
upgrade,-0.11985922037918623,0.0
upon,0.2886556678936803,0.0
us,0.007962878482773328,0.0
us to,-0.07517887218832336,0.0
use the,-0.025176792152934502,0.0
used,0.06753750710604028,0.0
usually,-0.06981260119404803,0.0
ve,0.0013234298119656485,0.0
very disappointed,0.12016829381829808,0.0
very nice,-0.08043699792041181,0.0
very small,-0.31195835258338295,0.0
visit,-0.019569955245028303,0.0
waiting,0.01763643363574513,0.0
walking,-0.10285843542527368,0.0
wall,-0.12372968622176383,0.0
walls,-0.08019358180693015,0.0
we went,0.10578629868700323,0.0
we were,-0.06597803068226327,0.0
we will,-0.00669324387007586,0.0
will never,-0.037807927565998045,0.0
wine,-0.12089523375277295,0.0
with,0.0454859557407043,0.0
with me,-0.03414901989932678,0.0
with the,0.07898113562913345,0.0
without,0.020284076108875615,0.0
work,0.019652876751080794,0.0
working,-0.03333472337177251,0.0
worst,0.11604392739810765,0.0
worth,-0.06755390456096705,0.0
worth the,-0.07611250345084536,0.0
would,0.03189855536464081,0.0
would be,0.07953557435371139,0.0
would have,0.022166030344239085,0.0
would not,0.06683628604898523,0.0
wouldn,0.1298749018137929,0.0
wrong,0.001985130256432266,0.0
year,-0.03420991383800176,0.0
years,-0.026768557256937386,0.0
yet,0.09019554574492716,0.0
you,-0.05462013951244643,0.0
you are,-0.03668898710191848,0.0
you can,-0.1257938234635062,0.0
you get,0.09582431817839043,0.0
will not,0.01735937380376379,0.0
will be,0.029702032318569105,0.0
wedding,0.15370583148137196,0.0
will,0.02326913172736167,0.0
week,-0.022750296074493526,0.0
weekend,0.1087468987055294,0.0
well,0.11514498381438176,0.0
went,0.055650485107480385,0.0
went to,0.10727484466263737,0.0
were,0.0715064331618786,0.0
were not,0.00499463237303599,0.0
were so,-0.0781841996757705,0.0
were very,0.026328208126312147,0.0
weren,0.2892753181945583,0.0
what,0.08890512723713606,0.0
what you,0.17878523498080645,0.0
when arrived,0.057514091350324203,0.0
when we,-0.022741397220351844,0.0
where,0.044666357604469686,0.0
which,0.0697777111715785,0.0
which was,-0.0020904478993698516,0.0
while,0.08179320504000426,0.0
while was,0.12253810037147761,0.0
who,0.06919788835191698,0.0
whole,-0.021427499143075568,0.0
wife,0.21237093620173636,0.0
wife and,0.20712664703269484,0.0
tv,0.051786976680599894,0.0
trying to,0.33029715614967237,0.0
that they,-0.09922966604989136,0.0
the service,0.07784956433977358,0.0
